"anio_eleccion","eleccion","CUT_COM","comuna_clean","pisi_score","pct_militante","pct_militante_win","has_militante","reelection_rate_militante","comuna_original","comuna_repaired"
1992,"Municipales","09202","COLLIPULLI",0.718954248366013,70.5882352941177,100,1,NA,"Collipulli","Collipulli"
1992,"Municipales","06104","COLTAUCO",0.648148148148148,66.6666666666667,83.3333333333333,1,NA,"Coltauco","Coltauco"
1992,"Municipales","04302","COMBARBALA",0.800925925925926,91.6666666666667,100,1,NA,"Combarbalá","Combarbalá"
1992,"Municipales","08101","CONCEPCION",0.747447447447447,86.4864864864865,90,1,NA,"Concepción","Concepción"
1992,"Municipales","13104","CONCHALI",0.623263888888889,78.125,62.5,1,NA,"Conchalí","Conchalí"
1992,"Municipales","07102","CONSTITUCION",0.719444444444445,85,83.3333333333333,1,NA,"Constitución","Constitución"
1992,"Municipales","08204","CONTULMO",0.674074074074074,73.3333333333333,83.3333333333333,1,NA,"Contulmo","Contulmo"
1992,"Municipales","03101","COPIAPO",0.715555555555556,84,83.3333333333333,1,NA,"Copiapó","Copiapó"
1992,"Municipales","04102","COQUIMBO",0.762626262626263,81.8181818181818,100,1,NA,"Coquimbo","Coquimbo"
1992,"Municipales","08102","CORONEL",0.768518518518519,83.3333333333333,100,1,NA,"Coronel","Coronel"
1992,"Municipales","14102","CORRAL",0.635802469135803,77.7777777777778,66.6666666666667,1,NA,"Corral","Corral"
1992,"Municipales","09103","CUNCO",0.794444444444444,90,100,1,NA,"Cunco","Cunco"
1992,"Municipales","09203","CURACAUTIN",0.515432098765432,61.1111111111111,50,1,NA,"Curacautín","Curacautín"
1992,"Municipales","13503","CURACAVI",0.666666666666667,85.7142857142857,66.6666666666667,1,NA,"Curacaví","Curacaví"
1992,"Municipales","10204","CURACO DE VELEZ",0.674074074074074,73.3333333333333,83.3333333333333,1,NA,"Curaco de Vélez","Curaco de Vélez"
1992,"Municipales","08205","CURANILAHUE",0.654970760233918,68.4210526315789,83.3333333333333,1,NA,"Curanilahue","Curanilahue"
1992,"Municipales","09104","CURARREHUE",0.784722222222222,87.5,100,1,NA,"Curarrehue","Curarrehue"
1992,"Municipales","07103","CUREPTO",0.680555555555556,75,83.3333333333333,1,NA,"Curepto","Curepto"
1992,"Municipales","07301","CURICO",0.578282828282828,77.2727272727273,50,1,NA,"Curicó","Curicó"
1992,"Municipales","10205","DALCAHUE",0.784722222222222,87.5,100,1,NA,"Dalcahue","Dalcahue"
1992,"Municipales","03202","DIEGO DE ALMAGRO",0.751461988304094,78.9473684210526,100,1,NA,"Diego de Almagro","Diego de Almagro"
1992,"Municipales","06105","DONIHUE",0.555555555555555,71.4285714285714,50,1,NA,"Doñihue","Doñihue"
1992,"Municipales","13105","EL BOSQUE",0.71875,81.25,87.5,1,NA,"El Bosque","El Bosque"
1992,"Municipales","16104","EL CARMEN",0.580808080808081,63.6363636363636,66.6666666666667,1,NA,"El Carmen","El Carmen"
1992,"Municipales","13602","EL MONTE",0.7,80,83.3333333333333,1,NA,"El Monte","El Monte"
1992,"Municipales","05605","EL TABO",0.740740740740741,76.1904761904762,100,1,NA,"El Tabo","El Tabo"
1992,"Municipales","07104","EMPEDRADO",0.592592592592592,66.6666666666667,66.6666666666667,1,NA,"Empedrado","Empedrado"
1992,"Municipales","09204","ERCILLA",0.644444444444444,80,66.6666666666667,1,NA,"Ercilla","Ercilla"
1992,"Municipales","13106","ESTACION CENTRAL",0.730902777777778,84.375,87.5,1,NA,"Estación Central","Estación Central"
1992,"Municipales","08104","FLORIDA",0.583333333333333,78.5714285714286,50,1,NA,"Florida","Florida"
1992,"Municipales","09105","FREIRE",0.777777777777778,85.7142857142857,100,1,NA,"Freire","Freire"
1992,"Municipales","03303","FREIRINA",0.675438596491228,73.6842105263158,83.3333333333333,1,NA,"Freirina","Freirina"
1992,"Municipales","10104","FRESIA",0.751461988304094,78.9473684210526,100,1,NA,"Fresia","Fresia"
1992,"Municipales","10105","FRUTILLAR",0.686274509803922,76.4705882352941,83.3333333333333,1,NA,"Frutillar","Frutillar"
1992,"Municipales","10402","FUTALEUFU",0.59375,81.25,50,1,NA,"Futaleufú","Futaleufú"
1992,"Municipales","14202","FUTRONO",0.764705882352941,82.3529411764706,100,1,NA,"Futrono","Futrono"
1992,"Municipales","09106","GALVARINO",0.712962962962963,83.3333333333333,83.3333333333333,1,NA,"Galvarino","Galvarino"
1992,"Municipales","15202","GENERAL LAGOS",0.736111111111111,75,100,1,NA,"General Lagos","General Lagos"
1992,"Municipales","09107","GORBEA",0.675438596491228,73.6842105263158,83.3333333333333,1,NA,"Gorbea","Gorbea"
1992,"Municipales","06106","GRANEROS",0.654589371980676,82.6086956521739,66.6666666666667,1,NA,"Graneros","Graneros"
1992,"Municipales","11203","GUAITECAS",0.560185185185185,58.3333333333333,66.6666666666667,1,NA,"Guaitecas","Guaitecas"
1992,"Municipales","05503","HIJUELAS",0.751461988304094,78.9473684210526,100,1,NA,"Hijuelas","Hijuelas"
